Name,playerid,tot
Alex Colome,6661,366.2
Scott Oberg,13911,365.90000000000003
Bryse Wilson,19990,364.75
Chase Anderson,6895,364.4999999999999
Will Smith,8048,363.00000000000006
Mychal Givens,10430,362.4
Brendan McKay,20186,362.35
Cal Quantrill,19312,359.8
Hansel Robles,11801,359.20000000000005
Elieser Hernandez,16933,359.1499999999999
Tyler Chatwood,4338,354.9
Eric Lauer,19316,353.85
Zach Davies,13183,353.40000000000015
Andres Munoz,20373,349.1
Randy Dobnak,23798,348.4
Justin Dunn,19268,348.24999999999994
Ryan Borucki,16350,347.1000000000001
Seth Lugo,12447,345.0
Diego Castillo,17496,344.9
Nick Anderson,18337,344.0
Jason Vargas,8044,341.15
Andrew Miller,6785,339.8
Drew Smyly,11760,338.9999999999999
Andrew Chafin,12988,335.59999999999997
Ivan Nova,1994,335.4000000000002
Kolby Allard,18694,334.6
Ryan Pressly,7005,334.40000000000003
Keone Kela,14696,334.3
John Means,16269,330.29999999999984
Jake Diekman,5003,328.1000000000001
Sam Tuivailala,13485,325.5
Joshua James,16794,323.3
Ty Buttrey,14719,322.3
Tommy Kahnle,11384,319.6
Erik Swanson,16587,318.59999999999997
Tony Watson,3132,315.6000000000001
Tyson Ross,7872,314.9
Joe Kelly,9761,313.59999999999997
Amir Garrett,14375,313.4
Tanner Rainey,17610,312.7
Walker Lockett,13804,311.8
Clayton Richard,3551,311.70000000000005
Jose Suarez,19911,311.59999999999997
Brent Suter,13942,308.1
Aaron Bummer,16258,306.20000000000005
Antonio Senzatela,15488,305.55
Dylan Covey,14825,305.3999999999999
Jordan Zimmermann,4505,303.8000000000001
Chad Green,15552,303.70000000000005
Jacob Waguespack,18318,303.1500000000001
Tyler Duffey,13758,302.5
Clay Buchholz,3543,301.1000000000002
Kevin Ginkel,19876,300.9
Rogelio Armenteros,17679,299.44999999999993
Matt Strahm,13799,296.1
Zack Britton,3240,294.4
Shane Greene,10756,293.30000000000007
Kendall Graveman,15514,289.70000000000005
Jairo Diaz,12774,288.09999999999997
Justin Wilson,4301,287.2
Devin Smeltzer,19487,285.2000000000001
Adam Ottavino,1247,284.0
Brock Burke,17968,283.9
A.J. Puk,19343,282.9
